User Name,Group,User Type,Binding Mode,Auth Account,Auth Password,Concurrent Num,Account Billing,Billing Way,Account Effective Date,Account Expiration Date,Account Effecttime,User Status,IP Address,MAC Address
zu1 , ,Group, , , , , , , , , , , ,
zu1-1 ,zu1 ,Group, , , , , , , , , , , ,
zu2 , ,Group, , , , , , , , , , , ,
zu2-1 ,zu2 ,Group, ,,,,,,,,0, , , 
zu3 , ,Group,,,,,,,,,,,,
zu4 , ,Group,,,,,,,,,,,,
zu5 , ,Group,,,,,,,,,,,,
zu6 , ,Group,,,,,,,,,,,,
zu7 , ,Group,,,,,,,,,,,,
zu8 , ,Group,,,,,,,,,,,,
zu9 , ,Group,,,,,,,,,,,,
zu10 , ,Group,,,,,,,,,,,,
zu11 , ,Group,,,,,,,,,,,,
zu12 , ,Group,,,,,,,,,,,,
zu13 , ,Group,,,,,,,,,,,,
zu14 , ,Group,,,,,,,,,,,,
zu15 , ,Group,,,,,,,,,,,,
zu16 , ,Group,,,,,,,,,,,,
zu17 , ,Group,,,,,,,,,,,,
zu18 , ,Group,,,,,,,,,,,,
zu19 , ,Group,,,,,,,,,,,,
zu20 , ,Group,,,,,,,,,,,,
zu21 , ,Group,,,,,,,,,,,,
zu22 , ,Group,,,,,,,,,,,,
zu23 , ,Group,,,,,,,,,,,,
zu24 , ,Group,,,,,,,,,,,,
zu25 , ,Group,,,,,,,,,,,,
zu26 , ,Group,,,,,,,,,,,,
zu27 , ,Group,,,,,,,,,,,,
zu28 , ,Group,,,,,,,,,,,,
zu29 , ,Group,,,,,,,,,,,,
zu30 , ,Group,,,,,,,,,,,,
zu31 , ,Group,,,,,,,,,,,,
zu32 , ,Group,,,,,,,,,,,,
zu33 , ,Group,,,,,,,,,,,,
zu34 , ,Group,,,,,,,,,,,,
zu35 , ,Group,,,,,,,,,,,,
zu36 , ,Group,,,,,,,,,,,,
zu37 , ,Group,,,,,,,,,,,,
zu38 , ,Group,,,,,,,,,,,,
zu39 , ,Group,,,,,,,,,,,,
zu40 , ,Group,,,,,,,,,,,,
zu41 , ,Group,,,,,,,,,,,,
zu42 , ,Group,,,,,,,,,,,,
zu43 , ,Group,,,,,,,,,,,,
zu44 , ,Group,,,,,,,,,,,,
zu45 , ,Group,,,,,,,,,,,,
zu46 , ,Group,,,,,,,,,,,,
zu47 , ,Group,,,,,,,,,,,,
zu48 , ,Group,,,,,,,,,,,,
zu49 , ,Group,,,,,,,,,,,,
zu50 , ,Group,,,,,,,,,,,,
zu51 , ,Group,,,,,,,,,,,,
zu52 , ,Group,,,,,,,,,,,,
zu53 , ,Group,,,,,,,,,,,,
zu54 , ,Group,,,,,,,,,,,,
zu55 , ,Group,,,,,,,,,,,,
zu56 , ,Group,,,,,,,,,,,,
zu57 , ,Group,,,,,,,,,,,,
zu58 , ,Group,,,,,,,,,,,,
zu59 , ,Group,,,,,,,,,,,,
zu60 , ,Group,,,,,,,,,,,,
zu61 , ,Group,,,,,,,,,,,,
zu62 , ,Group,,,,,,,,,,,,
zu63 , ,Group,,,,,,,,,,,,
zu64 , ,Group,,,,,,,,,,,,
zu65 , ,Group,,,,,,,,,,,,
zu66 , ,Group,,,,,,,,,,,,
zu67 , ,Group,,,,,,,,,,,,
zu68 , ,Group,,,,,,,,,,,,
zu69 , ,Group,,,,,,,,,,,,
zu70 , ,Group,,,,,,,,,,,,
zu71 , ,Group,,,,,,,,,,,,
zu72 , ,Group,,,,,,,,,,,,
zu73 , ,Group,,,,,,,,,,,,
zu74 , ,Group,,,,,,,,,,,,
zu75 , ,Group,,,,,,,,,,,,
zu76 , ,Group,,,,,,,,,,,,
zu77 , ,Group,,,,,,,,,,,,
zu78 , ,Group,,,,,,,,,,,,
zu79 , ,Group,,,,,,,,,,,,
zu80 , ,Group,,,,,,,,,,,,
zu81 , ,Group,,,,,,,,,,,,
zu82 , ,Group,,,,,,,,,,,,
zu83 , ,Group,,,,,,,,,,,,
zu84 , ,Group,,,,,,,,,,,,
zu85 , ,Group,,,,,,,,,,,,
zu86 , ,Group,,,,,,,,,,,,
zu87 , ,Group,,,,,,,,,,,,
zu88 , ,Group,,,,,,,,,,,,
zu89 , ,Group,,,,,,,,,,,,
zu90 , ,Group,,,,,,,,,,,,
zu91 , ,Group,,,,,,,,,,,,
zu92 , ,Group,,,,,,,,,,,,
zu93 , ,Group,,,,,,,,,,,,
zu94 , ,Group,,,,,,,,,,,,
zu95 , ,Group,,,,,,,,,,,,
zu96 , ,Group,,,,,,,,,,,,
zu97 , ,Group,,,,,,,,,,,,
zu98 , ,Group,,,,,,,,,,,,
zu99 , ,Group,,,,,,,,,,,,
zu100 , ,Group,,,,,,,,,,,,
zu101 , ,Group,,,,,,,,,,,,
zu102 , ,Group,,,,,,,,,,,,
zu103 , ,Group,,,,,,,,,,,,
zu104 , ,Group,,,,,,,,,,,,
zu105 , ,Group,,,,,,,,,,,,
zu106 , ,Group,,,,,,,,,,,,
zu107 , ,Group,,,,,,,,,,,,
zu108 , ,Group,,,,,,,,,,,,
zu109 , ,Group,,,,,,,,,,,,
zu110 , ,Group,,,,,,,,,,,,
zu111 , ,Group,,,,,,,,,,,,
zu112 , ,Group,,,,,,,,,,,,
zu113 , ,Group,,,,,,,,,,,,
zu114 , ,Group,,,,,,,,,,,,
zu115 , ,Group,,,,,,,,,,,,
zu116 , ,Group,,,,,,,,,,,,
zu117 , ,Group,,,,,,,,,,,,
zu118 , ,Group,,,,,,,,,,,,
zu119 , ,Group,,,,,,,,,,,,
zu120 , ,Group,,,,,,,,,,,,
zu121 , ,Group,,,,,,,,,,,,
zu122 , ,Group,,,,,,,,,,,,
zu123 , ,Group,,,,,,,,,,,,
zu124 , ,Group,,,,,,,,,,,,
