用户名,所属组,用户类型,绑定方法,认证账号,认证密码,并发数,账号计费,计费方式,账号开通日期,账号停用日期,账号有效时长,用户状态,IP地址,MAC地址
zu1 , ,组, , , , , , , , , , , ,
zu1-1 ,zu1 ,组, , , , , , , , , , , ,
zu2 , ,组, , , , , , , , , , , ,
zu2-1 ,zu2 ,组, , , , , , , , , , , ,
zu3 , ,组, , , , , , , , , , , ,
zu4 , ,组, , , , , , , , , , , ,
zu5 , ,组, , , , , , , , , , , ,
zu6 , ,组, , , , , , , , , , , ,
zu7 , ,组, , , , , , , , , , , ,
zu8 , ,组, , , , , , , , , , , ,
zu9 , ,组, , , , , , , , , , , ,
zu10 , ,组, , , , , , , , , , , ,
zu11 , ,组, , , , , , , , , , , ,
zu12 , ,组, , , , , , , , , , , ,
zu13 , ,组, , , , , , , , , , , ,
zu14 , ,组, , , , , , , , , , , ,
zu15 , ,组, , , , , , , , , , , ,
zu16 , ,组, , , , , , , , , , , ,
zu17 , ,组, , , , , , , , , , , ,
zu18 , ,组, , , , , , , , , , , ,
zu19 , ,组, , , , , , , , , , , ,
zu20 , ,组, , , , , , , , , , , ,
zu21 , ,组, , , , , , , , , , , ,
zu22 , ,组, , , , , , , , , , , ,
zu23 , ,组, , , , , , , , , , , ,
zu24 , ,组, , , , , , , , , , , ,
zu25 , ,组, , , , , , , , , , , ,
zu26 , ,组, , , , , , , , , , , ,
zu27 , ,组, , , , , , , , , , , ,
zu28 , ,组, , , , , , , , , , , ,
zu29 , ,组, , , , , , , , , , , ,
zu30 , ,组, , , , , , , , , , , ,
zu31 , ,组, , , , , , , , , , , ,
zu32 , ,组, , , , , , , , , , , ,
zu33 , ,组, , , , , , , , , , , ,
zu34 , ,组, , , , , , , , , , , ,
zu35 , ,组, , , , , , , , , , , ,
zu36 , ,组, , , , , , , , , , , ,
zu37 , ,组, , , , , , , , , , , ,
zu38 , ,组, , , , , , , , , , , ,
zu39 , ,组, , , , , , , , , , , ,
zu40 , ,组, , , , , , , , , , , ,
zu41 , ,组, , , , , , , , , , , ,
zu42 , ,组, , , , , , , , , , , ,
zu43 , ,组, , , , , , , , , , , ,
zu44 , ,组, , , , , , , , , , , ,
zu45 , ,组, , , , , , , , , , , ,
zu46 , ,组, , , , , , , , , , , ,
zu47 , ,组, , , , , , , , , , , ,
zu48 , ,组, , , , , , , , , , , ,
zu49 , ,组, , , , , , , , , , , ,
zu50 , ,组, , , , , , , , , , , ,
zu51 , ,组, , , , , , , , , , , ,
zu52 , ,组, , , , , , , , , , , ,
zu53 , ,组, , , , , , , , , , , ,
zu54 , ,组, , , , , , , , , , , ,
zu55 , ,组, , , , , , , , , , , ,
zu56 , ,组, , , , , , , , , , , ,
zu57 , ,组, , , , , , , , , , , ,
zu58 , ,组, , , , , , , , , , , ,
zu59 , ,组, , , , , , , , , , , ,
